ID#,Country,SERIES          SH,SHOT,YEAR,MON,DAY,SITE,LAT,LONG,HOB,YD-MN,YIELD,DATE,MON_NUM,HOB_ft
135,USA,Hardtack I,Umbrella,1958,JUN,8,EN,11.3808,162.2192,-50,8,8,6/8/1958,6,-15.24390244
250,USSR,1965,Sary-Uzen,1965,OCT,14,STS-SU,49.99064,77.63572,-48,1.1,1.1,10/14/1965,10,-14.63414634
166,USA,Hardtack II,Mars,1958,SEP,28,NTS-RM,37.1931,-116.2006,-42.67,0.013,0.013,9/28/1958,9,-13.00914634
121,USA,Project 58A,Uranus,1958,MAR,14,NTS-RM,37.113,-116.115,-34.75,0,0.0005,3/14/1958,3,-10.5945122
120,USA,Project 58A,Venus,1958,FEB,22,NTS-RM,37.113,-116.115,-30.48,0,0.0005,2/22/1958,2,-9.292682927
173,USA,Hardtack II,Neptune,1958,OCT,14,NTS-RM,37.1939,-116.1997,-30.02,0.115,0.115,10/14/1958,10,-9.152439024
51,USSR,1957,,1957,OCT,10,NZ-CB,70.7,54.56,-30,10,6,10/10/1957,10,-9.146341463
217,USA,Nougat,Danny Boy,1962,MAR,5,NTS-18,37.1111,-116.3649,-30,0.43,0.43,3/5/1962,3,-9.146341463
399,USA,Whetstone,Sulky,1964,DEC,18,NTS-18,37.0825,-116.3425,-27.28,0.092,0.092,12/18/1964,12,-8.317073171
127,USSR,1961,Korall,1961,OCT,23,NZ-CB,70.7,54.56,-20,4.8,4.8,10/23/1961,10,-6.097560976
58,USA,Teapot,Ess,1955,MAR,23,NTS-YF,37.1683,-116.0439,-20,1,1,3/23/1955,3,-6.097560976
24,USSR,1955,(Joe 17),1955,SEP,21,NZ-CB,70.7,54.56,-10,3.5,3.5,9/21/1955,9,-3.048780488
270,USA,Sunbeam,Johnnie Boy,1962,JUL,11,NTS-18,37.1224,-116.333,-0.6,0.5,0.5,7/11/1962,7,-0.182926829
172,USSR,1962,,1962,SEP,16,NZ-MB?,74.2,51.6,0,3250,3250,9/16/1962,9,0
171,USSR,1962,,1962,SEP,15,NZ-MB?,74.4,51.5,0,3100,3100,9/15/1962,9,0
78,USSR,1958,,1958,OCT,18,NZ-MB,73.97,52.47,0,2900,2900,10/18/1958,10,0
